Statement,Header,域名稱,域值
Statement,Data,Title,轉賬歷史
Statement,Data,Period,"六月 23, 2026 - 八月 7, 2026"
Statement,Data,WhenGenerated,"2026-08-10, 10:54:51 EDT"
總結,Header,域名稱,域值
總結,Data,基礎貨幣,SGD
總結,Data,期初現金,62170.490999638685
總結,Data,變更,-56266.364222301774
總結,Data,期末現金,5904.126777336911
轉賬歷史,Header,日期,賬戶,說明,交易類型,代碼,交易量,價格,Price Currency,總額,佣金,淨金額
轉賬歷史,Data,2026-08-05,U***32085,MHG SEP26,賣,MHGU6,-1.0,6.6665,USD,21352.799499999997(1),-1.229952,-196.72364768
轉賬歷史,Data,2026-08-05,U***32085,MJY 14SEP26,買,MJYU6,1.0,0.006359,USD,-10183.938499999998(1),-0.5124799999999999,5.0466467999999995
轉賬歷史,Data,2026-08-05,U***32085,MES 18SEP26,賣,MESU6,-1.0,7809.0,USD,50024.454(1),-0.7815319999999999,380.30513012
轉賬歷史,Data,2026-08-05,U***32085,MGC 28OCT26,賣,MGCV6,-1.0,4263.8,USD,54627.80559999999(1),-1.229952,-123.05464767999997
轉賬歷史,Data,2026-08-05,U***32085,MES 18SEP26,買,MESU6,1.0,7779.5,USD,-49835.477(1),-0.7815319999999999,-193.03186988000002
轉賬歷史,Data,2026-08-05,U***32085,EUR 貸方利息- 七月-2026,貸方利息,-,-,-,-,4.81065,-,4.81065
轉賬歷史,Data,2026-08-05,U***32085,USD 貸方利息- 七月-2026,貸方利息,-,-,-,-,2.4086559999999997,-,2.4086559999999997
轉賬歷史,Data,2026-08-05,U***32085,USD 借方利息 七月-2026,借方利息,-,-,-,-,-51.004571999999996,-,-51.004571999999996
轉賬歷史,Data,2026-08-05,U***32085,USD 借貸費用—— 七月-2026,借方利息,-,-,-,-,-0.614976,-,-0.614976
轉賬歷史,Data,2026-08-05,U***32085,JPY 借方利息 七月-2026,借方利息,-,-,-,-,-0.9744599999999999,-,-0.9744599999999999
轉賬歷史,Data,2026-08-05,U***32085,SGD 貸方利息- 七月-2026,貸方利息,-,-,-,-,0.64,-,0.64
轉賬歷史,Data,2026-08-05,U***32085,MES 18SEP26,買,MESU6,1.0,7763.75,USD,-49734.5825(1),-0.7815319999999999,-92.13736988
轉賬歷史,Data,2026-08-05,U***32085,MNQ 18SEP26,買,MNQU6,1.0,29740.75,USD,-76207.6978(1),-0.7815319999999999,-323.07366988
轉賬歷史,Data,2026-08-04,U***32085,MHG SEP26 Position MTM,持倉按市價計值(MTM),MHGU6,-,-,-,-660.333,-,-660.333
轉賬歷史,Data,2026-08-04,U***32085,MCL SEP26 Position MTM,持倉按市價計值(MTM),MCLU6,-,-,-,-1171.9308,-,-1171.9308
轉賬歷史,Data,2026-08-04,U***32085,YC 14SEP26 Position MTM,持倉按市價計值(MTM),XCU6,-,-,-,-359.016,-,-359.016
轉賬歷史,Data,2026-08-04,U***32085,MHNG SEP26 Position MTM,持倉按市價計值(MTM),MNGU6,-,-,-,380.8134,-,380.8134
轉賬歷史,Data,2026-08-04,U***32085,MGC 28OCT26 Position MTM,持倉按市價計值(MTM),MGCV6,-,-,-,-1579.6704,-,-1579.6704
