Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
THE CENTRAL,EU TONG SEN STREET,Retail,"3,674,000","1,205.57","3,048",Jan-23,Strata,112,"32,804",99 yrs lease commencing from 2001,01,11 to 15
OXLEY TOWER,ROBINSON ROAD,Retail,"776,000",193.75,"4,005",Jan-23,Strata,18,"43,111",Freehold,01,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"798,000",193.75,"4,119",Jan-23,Strata,18,"44,333",Freehold,01,01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,"310,000",172.22,"1,800",Jan-23,Strata,16,"19,375",Freehold,05,B1 to B5
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"1,150,000",484.38,"2,374",Dec-22,Strata,45,"25,556",99 yrs lease commencing from 1968,01,01 to 05
BOAT QUAY CONSERVATION AREA,BOAT QUAY,Retail,"19,026,000","4,111.85","4,627",Nov-22,Strata,382,"49,806",999 yrs lease commencing from 1826,01,-
PASIR PANJANG GARDENS,JALAN MAS PUTEH,Retail,"3,050,000",882.65,"3,456",Oct-22,Strata,82,"37,195",999 yrs lease commencing from 1970,05,-
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"2,300,000",624.31,"3,684",Oct-22,Strata,58,"39,655",99 yrs lease commencing from 1968,01,01 to 05
ORCHID HOTEL,TRAS LINK,Retail,"1,268,000",538.2,"2,356",Sep-22,Strata,50,"25,360",99 yrs lease commencing from 2007,02,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"1,730,000",602.78,"2,870",Sep-22,Strata,56,"30,893",99 yrs lease commencing from 1968,01,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,"780,000",441.32,"1,767",Sep-22,Strata,41,"19,024",99 yrs lease commencing from 1980,03,01 to 05
PLUS,CECIL STREET,Retail,"3,702,000","1,259.39","2,940",Jul-22,Strata,117,"31,641",99 yrs lease commencing from 1989,01,01 to 05
ROBINSON SQUARE,ROBINSON ROAD,Retail,"3,380,000","1,367.03","2,473",Jul-22,Strata,127,"26,614",Freehold,01,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"950,000",344.45,"2,758",Jul-22,Strata,32,"29,688",99 yrs lease commencing from 1968,01,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"950,000",409.03,"2,323",Jul-22,Strata,38,"25,000",Freehold,03,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"550,000",172.22,"3,194",Jul-22,Strata,16,"34,375",99 yrs lease commencing from 1968,01,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"580,000",161.46,"3,592",Jul-22,Strata,15,"38,667",99 yrs lease commencing from 1968,01,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"1,150,000",204.52,"5,623",Jul-22,Strata,19,"60,526",Freehold,03,01 to 05
FURAMA CITY CENTRE SINGAPORE,EU TONG SEN STREET,Retail,"6,500,000","4,779.22","1,360",Jul-22,Strata,444,"14,640",99 yrs lease commencing from 1979,01,01 to 05
PLUS,CECIL STREET,Retail,"3,957,000","1,345.5","2,941",Jul-22,Strata,125,"31,656",99 yrs lease commencing from 1989,01,01 to 05
ALEXIS,ALEXANDRA ROAD,Retail,"8,800,000","3,067.74","2,869",Jun-22,Strata,285,"30,877",Freehold,03,01 to 05
SHENTON HOUSE,SHENTON WAY,Retail,"1,300,000",710.42,"1,830",Jun-22,Strata,66,"19,697",99 yrs lease commencing from 1969,01,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"1,850,000",656.6,"2,818",Jun-22,Strata,61,"30,328",Freehold,03,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"820,000",484.38,"1,693",May-22,Strata,45,"18,222",99 yrs lease commencing from 1968,01,01 to 05
PS100,PECK SEAH STREET,Retail,"1,300,000",516.67,"2,516",May-22,Strata,48,"27,083",99 yrs lease commencing from 2011,02,06 to 10
ROBINSON SQUARE,ROBINSON ROAD,Retail,"3,340,000","1,184.04","2,821",May-22,Strata,110,"30,364",Freehold,01,16 to 20
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"830,000",247.57,"3,353",May-22,Strata,23,"36,087",Freehold,03,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,"360,000",269.1,"1,338",Apr-22,Strata,25,"14,400",99 yrs lease commencing from 1980,03,B1 to B5
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"1,450,000",452.09,"3,207",Apr-22,Strata,42,"34,524",99 yrs lease commencing from 1968,01,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,"472,000",258.34,"1,827",Mar-22,Strata,24,"19,667",99 yrs lease commencing from 1980,03,01 to 05
N.A.,OUTRAM ROAD,Retail,"6,102,000","1,356.26","4,499",Mar-22,Strata,126,"48,429",Freehold,03,-
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"480,000",118.4,"4,054",Mar-22,Strata,11,"43,636",Freehold,03,01 to 05
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,"1,520,000",409.03,"3,716",Mar-22,Strata,38,"40,000",Freehold,05,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Retail,"2,850,000","1,065.64","2,674",Feb-22,Strata,99,"28,788",99 yrs lease commencing from 1970,02,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"728,000",182.99,"3,978",Jan-22,Strata,17,"42,824",Freehold,01,01 to 05
HAVELOCK2,HAVELOCK ROAD,Retail,"1,200,000",269.1,"4,459",Dec-21,Strata,25,"48,000",99 yrs lease commencing from 1983,01,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"1,250,000",365.98,"3,416",Dec-21,Strata,34,"36,765",Freehold,01,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"528,000",161.46,"3,270",Dec-21,Strata,15,"35,200",Freehold,01,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"900,000",312.16,"2,883",Nov-21,Strata,29,"31,034",99 yrs lease commencing from 1968,01,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,"292,000",215.28,"1,356",Nov-21,Strata,20,"14,600",99 yrs lease commencing from 1980,03,B1 to B5
PLUS,CECIL STREET,Retail,"3,785,060","1,270.15","2,980",Nov-21,Strata,118,"32,077",99 yrs lease commencing from 1989,01,06 to 10
SHENTON HOUSE,SHENTON WAY,Retail,"3,030,000",807.3,"3,753",Oct-21,Strata,75,"40,400",99 yrs lease commencing from 1969,01,01 to 05
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,Retail,"2,438,000","1,140.98","2,137",Oct-21,Strata,106,"23,000",99 yrs lease commencing from 2005,05,01 to 05
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,"1,700,000","1,076.4","1,579",Sep-21,Strata,100,"17,000",Freehold,05,01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,"375,000",226.04,"1,659",Sep-21,Strata,21,"17,857",Freehold,05,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"14,100,000","7,653.2","1,842",Aug-21,Strata,711,"19,831",Freehold,03,01 to 05
ONZE @ TANJONG PAGAR,KEE SENG STREET,Retail,"2,050,000",570.49,"3,593",Aug-21,Strata,53,"38,679",Freehold,02,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,"1,550,000",376.74,"4,114",Aug-21,Strata,35,"44,286",99 yrs lease commencing from 1970,01,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"2,100,000",182.99,"11,476",Aug-21,Strata,17,"123,529",99 yrs lease commencing from 1968,01,01 to 05
